Product_Name,Category,Sub_Category
Acco Binder,Office Supplies,Binders
Bookshelf,Furniture,Storage
Canvas Pack,Office Supplies,Art
Colored Pencils,Office Supplies,Art
Conference Chair,Furniture,Chairs
Conference Table,Furniture,Tables
Desk Phone,Technology,Phones
Desktop PC,Technology,Machines
Ergonomic Task Chair,Furniture,Chairs
Executive Chair,Furniture,Chairs
Filing Cabinet,Furniture,Storage
Folder Labels,Office Supplies,Labels
Folding Table,Furniture,Tables
Gaming Chair,Furniture,Chairs
Glass Bookcase,Furniture,Bookcases
Google Pixel 6,Technology,Phones
HD Webcam,Technology,Accessories
Ikea Bookcase,Furniture,Bookcases
Inkjet Printer,Technology,Machines
Label Holder,Office Supplies,Labels
Laptop Stand,Technology,Accessories
Laptop Table,Furniture,Tables
Laser Printer,Technology,Machines
Legal Pads,Office Supplies,Paper
Markers,Office Supplies,Art
Metal Cabinet,Furniture,Storage
Modular Shelving,Furniture,Bookcases
Name Tags,Office Supplies,Labels
Noise Cancelling Headset,Technology,Accessories
Notebooks,Office Supplies,Paper
Office Desk,Furniture,Tables
Plastic Binder,Office Supplies,Binders
Presentation Binder,Office Supplies,Binders
Printer Paper,Office Supplies,Paper
Ring Binder,Office Supplies,Binders
Samsung Galaxy S22,Technology,Phones
Server Rack,Technology,Machines
Shipping Labels,Office Supplies,Labels
Sketchbook,Office Supplies,Art
Sticky Notes,Office Supplies,Paper
Storage Shelves,Furniture,Storage
Wireless Mouse,Technology,Accessories
Wooden Bookcase,Furniture,Bookcases
iPhone 13,Technology,Phones
